Year,State FIPS,Postal Code,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
2004,0,US,United States,"37,039,804","36,359,662","37,719,946",12.7,12.5,13,"13,041,492","12,694,086","13,388,898",17.8,17.3,18.3,"8,430,886","8,142,299","8,719,473",16.2,15.6,16.7,"44,334","44,012","44,656","4,123,715","3,917,910","4,329,520",20.5,19.5,21.5
2004,1,AL,Alabama,"717,483","675,992","758,974",16.1,15.1,17,"245,017","226,152","263,881",22.6,20.9,24.4,"160,787","143,834","177,740",20.7,18.5,22.9,"37,062","35,614","38,510","77,330","68,732","85,928",26.2,23.3,29.1
2004,2,AK,Alaska,"64,660","58,937","70,382",10,9.1,10.8,"24,243","21,287","27,199",12.9,11.3,14.5,"14,841","12,221","17,461",11,9.1,13,"52,141","50,454","53,827","7,493","6,109","8,877",14.9,12.2,17.7
2004,4,AZ,Arizona,"853,587","795,925","911,249",14.6,13.6,15.6,"338,384","306,966","369,802",21.5,19.5,23.5,"214,962","187,998","241,926",19.8,17.3,22.2,"43,696","42,282","45,110","112,042","96,304","127,781",24.5,21.1,28
2004,5,AR,Arkansas,"424,576","397,276","451,876",15.6,14.6,16.6,"153,124","140,227","166,022",22.7,20.8,24.6,"95,393","84,071","106,715",20,17.6,22.4,"35,295","33,830","36,759","51,948","45,964","57,933",28.1,24.9,31.3
2004,6,CA,California,"4,681,645","4,463,645","4,899,644",13.2,12.6,13.8,"1,809,423","1,686,330","1,932,515",18.7,17.4,20,"1,225,762","1,119,872","1,331,652",17.7,16.2,19.3,"49,894","48,617","51,172","540,606","480,804","600,408",20.3,18.1,22.6
2004,8,CO,Colorado,"466,804","429,907","503,701",10.2,9.4,11,"151,264","132,875","169,652",12.8,11.3,14.4,"94,396","78,381","110,411",11.4,9.5,13.3,"50,105","48,618","51,592","50,463","41,749","59,176",15,12.4,17.6
2004,9,CT,Connecticut,"314,619","285,567","343,672",9.1,8.3,10,"95,407","82,466","108,348",11.4,9.9,13,"64,564","53,090","76,038",10.5,8.6,12.3,"56,617","54,763","58,471","27,524","21,573","33,476",13,10.2,15.9
2004,10,DE,Delaware,"79,844","72,823","86,865",9.6,8.8,10.5,"26,124","23,005","29,242",13.4,11.8,15,"15,877","13,150","18,604",11.5,9.5,13.5,"49,545","48,033","51,057","9,048","7,578","10,518",16.4,13.8,19.1
2004,11,DC,District of Columbia,"98,309","91,164","105,455",18.3,16.9,19.6,"32,493","29,247","35,740",29.2,26.3,32.1,"19,536","17,038","22,034",26.8,23.3,30.2,"46,211","44,692","47,730","11,615","9,613","13,616",31.5,26.1,36.9
