Year,State FIPS,Postal Code,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
2011,0,US,United States,"48,452,035","48,217,869","48,686,201",15.9,15.8,16,"16,386,500","16,262,247","16,510,753",22.5,22.3,22.7,"10,976,987","10,882,675","11,071,299",20.8,20.6,21,"50,502","50,429","50,575","5,110,087","5,061,357","5,158,817",25.8,25.6,26
2011,1,AL,Alabama,"896,117","879,174","913,060",19.1,18.7,19.5,"307,310","298,317","316,303",27.6,26.8,28.4,"209,724","201,714","217,734",25.8,24.8,26.8,"41,427","40,894","41,960","94,184","89,925","98,443",31.5,30.1,32.9
2011,2,AK,Alaska,"76,021","72,599","79,443",10.8,10.3,11.3,"27,192","25,130","29,254",14.7,13.6,15.8,"17,857","16,000","19,714",13.6,12.2,15,"65,699","64,147","67,251","8,473","7,472","9,474",15.8,13.9,17.7
2011,4,AZ,Arizona,"1,201,376","1,176,529","1,226,223",19,18.6,19.4,"434,571","420,527","448,615",27.2,26.3,28.1,"294,963","282,593","307,333",25.7,24.6,26.8,"46,710","46,173","47,247","132,554","125,574","139,534",29.9,28.3,31.5
2011,5,AR,Arkansas,"550,079","538,191","561,967",19.3,18.9,19.7,"194,242","187,760","200,724",27.8,26.9,28.7,"128,194","122,698","133,690",25.5,24.4,26.6,"38,889","38,167","39,611","62,668","59,124","66,212",32.6,30.8,34.4
2011,6,CA,California,"6,121,726","6,065,691","6,177,761",16.6,16.4,16.8,"2,085,226","2,055,547","2,114,905",22.8,22.5,23.1,"1,431,148","1,404,413","1,457,883",21.7,21.3,22.1,"57,275","56,997","57,553","614,837","601,173","628,501",24.7,24.2,25.2
2011,8,CO,Colorado,"669,267","654,300","684,234",13.4,13.1,13.7,"215,325","206,577","224,073",17.7,17,18.4,"138,632","131,086","146,178",15.9,15,16.8,"55,530","54,944","56,116","71,015","66,713","75,317",21.1,19.8,22.4
2011,9,CT,Connecticut,"373,284","361,432","385,136",10.8,10.5,11.1,"115,699","109,366","122,032",14.6,13.8,15.4,"79,802","74,061","85,543",13.3,12.3,14.3,"65,822","65,021","66,623","33,766","30,910","36,622",17.4,15.9,18.9
2011,10,DE,Delaware,"111,176","106,446","115,906",12.6,12.1,13.1,"37,941","35,584","40,298",18.8,17.6,20,"24,830","22,751","26,909",17.1,15.7,18.5,"58,159","56,859","59,459","11,975","10,791","13,159",21.9,19.7,24.1
2011,11,DC,District of Columbia,"111,906","106,789","117,023",19.1,18.2,20,"32,297","29,355","35,239",30.9,28.1,33.7,"20,884","18,204","23,564",30.5,26.6,34.4,"62,087","60,432","63,742","10,976","9,896","12,056",30.6,27.6,33.6
2011,12,FL,Florida,"3,178,155","3,138,992","3,217,318",17,16.8,17.2,"985,615","964,099","1,007,131",25.1,24.6,25.6,"670,753","653,062","688,444",23.5,22.9,24.1,"44,250","43,850","44,650","299,201","287,545","310,857",28.3,27.2,29.4
2011,13,GA,Georgia,"1,836,715","1,806,754","1,866,676",19.2,18.9,19.5,"651,999","635,149","668,849",26.6,25.9,27.3,"440,361","426,024","454,698",24.8,24,25.6,"45,886","45,438","46,334","202,963","194,063","211,863",30.3,29,31.6
