Year,State FIPS,Postal Code,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
2008,0,US,United States,39108422,38858742,39358102,13.2,13.1,13.3,13240870,13115296,13366444,18.2,18,18.4,8549526,8469455,8629597,16.5,16.3,16.6,52029,51956,52102,4369698,4311741,4427655,21.2,20.9,21.5
2008,1,AL,Alabama,721875,706983,736766,15.9,15.6,16.2,244661,236008,253314,22.1,21.3,22.9,157565,149941,165189,19.8,18.9,20.8,42586,41924,43248,82291,78070,86511,27,25.6,28.4
2008,2,AK,Alaska,61871,58506,65236,9.2,8.7,9.7,21872,20117,23628,12.4,11.4,13.4,12927,11387,14467,10.5,9.2,11.7,67332,65719,68945,7582,6768,8396,15,13.4,16.6
2008,4,AZ,Arizona,935247,915163,955331,14.7,14.3,15,347462,335697,359227,20.7,20,21.4,223217,213298,233136,19.2,18.3,20.1,51009,50506,51512,116264,110425,122103,23,21.9,24.2
2008,5,AR,Arkansas,479140,467571,490708,17.3,16.9,17.7,170833,164665,177000,24.7,23.8,25.6,109650,104263,115037,22.4,21.3,23.5,38820,38139,39502,58087,55061,61114,29.5,28,31.1
2008,6,CA,California,4781201,4725709,4836693,13.3,13.1,13.4,1702065,1671766,1732364,18.5,18.1,18.8,1128080,1101757,1154403,17.3,16.9,17.7,61017,60782,61251,534254,518237,550270,20.2,19.6,20.8
2008,8,CO,Colorado,540845,525482,556208,11.2,10.9,11.5,171707,162824,180591,14.4,13.7,15.2,106985,99090,114880,12.8,11.9,13.8,57184,56573,57794,60228,55982,64473,17.2,15.9,18.4
2008,9,CT,Connecticut,308479,297762,319195,9.1,8.8,9.4,94346,88288,100404,11.8,11,12.6,61410,55972,66848,10.5,9.5,11.4,68294,67237,69350,29626,26997,32255,14.2,12.9,15.5
2008,10,DE,Delaware,87977,83882,92072,10.3,9.9,10.8,29148,27045,31251,14.3,13.2,15.3,18581,16716,20446,12.8,11.5,14.1,58380,56991,59770,9709,8697,10720,16.6,14.9,18.3
2008,11,DC,District of Columbia,95232,91048,99417,16.9,16.2,17.7,28416,26450,30382,25.8,24,27.6,18421,16719,20123,24.8,22.5,27.1,58553,56733,60373,9549,8532,10566,26.9,24.1,29.8
2008,12,FL,Florida,2375225,2342192,2408259,13.3,13.1,13.4,726383,709162,743603,18.4,18,18.9,469407,455184,483630,16.7,16.2,17.2,47802,47454,48149,242402,232723,252082,21.7,20.8,22.6
2008,13,GA,Georgia,1388959,1365387,1412531,14.7,14.5,15,507967,493949,521985,20.2,19.7,20.8,324953,312919,336987,18.3,17.6,19,50834,50429,51240,172745,165386,180105,23.8,22.8,24.8
2008,15,HI,Hawaii,116618,110491,122744,9.3,8.8,9.7,30728,27911,33544,10.9,9.9,11.9,18001,15575,20427,9.3,8,10.5,66701,65063,68339,11250,9803,12696,13.1,11.4,14.8
2008,16,ID,Idaho,186015,178723,193306,12.5,12,13,64361,60642,68081,15.8,14.9,16.8,37696,34449,40943,13.3,12.2,14.5,47561,46654,48467,23738,21899,25578,19.8,18.3,21.4
2008,17,IL,Illinois,1529235,1507151,1551320,12.2,12,12.3,531774,518602,544945,16.9,16.5,17.4,345496,334386,356606,15.4,14.9,15.9,56230,55869,56590,176645,169560,183730,20.1,19.3,20.9
2008,18,IN,Indiana,799567,783820,815314,12.9,12.7,13.2,277503,267487,287520,17.9,17.3,18.6,176397,167904,184890,15.9,15.1,16.6,48010,47481,48540,94186,89069,99303,21.9,20.7,23.1
2008,19,IA,Iowa,331057,322082,340033,11.4,11.1,11.7,99569,94498,104640,14.2,13.5,14.9,59823,55513,64133,12,11.1,12.9,49007,48380,49634,35072,32439,37704,17.8,16.5,19.1
2008,20,KS,Kansas,307804,298971,316637,11.3,11,11.7,100146,95023,105269,14.6,13.8,15.3,59842,55420,64264,12.3,11.4,13.2,50174,49702,50646,36417,33847,38986,18.4,17.1,19.7
2008,21,KY,Kentucky,716951,702312,731590,17.3,16.9,17.6,232097,224401,239794,23.4,22.6,24.2,147795,141065,154525,20.9,20,21.9,41489,41049,41930,78680,74763,82597,28.2,26.8,29.6
2008,22,LA,Louisiana,755150,738919,771381,17.6,17.2,18,274238,265430,283046,25.1,24.3,25.9,179507,171718,187296,22.9,21.9,23.9,43635,43018,44252,90216,85981,94450,29.6,28.2,31
2008,23,ME,Maine,161170,155893,166448,12.6,12.2,13,43943,41235,46651,16.5,15.4,17.5,27036,24593,29479,13.8,12.5,15,46419,45569,47269,15077,13860,16295,21.8,20,23.5
2008,24,MD,Maryland,448788,436412,461164,8.2,7.9,8.4,137831,130121,145541,10.4,9.8,11,86793,80170,93416,9.1,8.4,9.8,70482,69874,71091,44781,40819,48744,12.2,11.2,13.3
2008,25,MA,Massachusetts,632158,615796,648521,10.1,9.8,10.3,173181,166018,180345,12.3,11.8,12.8,112923,106963,118883,11,10.4,11.6,65304,64719,65889,53698,49804,57593,14.2,13.2,15.2
2008,26,MI,Michigan,1402736,1382820,1422652,14.4,14.2,14.6,455357,444332,466381,19.3,18.9,19.8,307248,298435,316061,17.8,17.3,18.3,48606,48190,49022,136308,129640,142977,22.3,21.2,23.3
2008,27,MN,Minnesota,489714,477990,501438,9.6,9.4,9.9,141120,134950,147290,11.4,10.9,11.9,86518,81430,91606,9.9,9.3,10.4,57318,56807,57829,47549,44119,50978,13.5,12.5,14.4
2008,28,MS,Mississippi,590480,575895,605064,20.8,20.3,21.3,222716,214976,230455,29.5,28.5,30.6,148122,141257,154987,27.8,26.5,29,37818,37160,38477,72081,68399,75764,33.2,31.5,34.9
2008,29,MO,Missouri,774937,760251,789624,13.5,13.2,13.8,263006,254429,271583,18.9,18.3,19.5,165418,157984,172852,16.6,15.9,17.4,46847,46477,47217,89996,85725,94267,23.2,22.1,24.3
2008,30,MT,Montana,132971,127999,137943,14.1,13.6,14.6,41477,39136,43818,19.2,18.1,20.2,26032,23957,28107,16.9,15.6,18.3,43948,42796,45099,13678,12568,14789,22.8,20.9,24.6
2008,31,NE,Nebraska,186480,179814,193147,10.8,10.4,11.2,59793,56186,63401,13.7,12.9,14.5,35492,32305,38679,11.7,10.6,12.7,49731,48953,50509,21668,19973,23363,16.8,15.5,18.1
2008,32,NV,Nevada,288334,278528,298140,11.2,10.9,11.6,98504,92794,104215,15,14.1,15.8,60439,55569,65309,13.2,12.2,14.3,56432,55670,57195,34298,31361,37235,17.5,16,18.9
2008,33,NH,New Hampshire,99939,94520,105357,7.8,7.4,8.2,27280,24734,29826,9.4,8.6,10.3,16714,14462,18966,7.8,6.8,8.9,63235,61813,64657,8954,7787,10121,12.1,10.5,13.6
2008,34,NJ,New Jersey,740069,722431,757707,8.7,8.5,8.9,248667,238350,258983,12.3,11.8,12.8,161659,152904,170414,11,10.4,11.6,70347,69838,70855,77619,72189,83049,14.2,13.2,15.1
2008,35,NM,New Mexico,329857,321518,338196,17,16.6,17.4,118793,113851,123735,24.1,23.1,25.1,76128,71769,80487,22,20.8,23.3,43719,42848,44590,40670,38259,43080,27.9,26.3,29.6
2008,36,NY,New York,2595816,2564837,2626795,13.7,13.5,13.9,837435,821102,853768,19.3,18.9,19.7,576856,563424,590288,18.3,17.9,18.8,55980,55603,56356,245206,236112,254301,20.8,20,21.5
2008,37,NC,North Carolina,1301882,1279051,1324712,14.6,14.3,14.8,440281,426995,453567,19.9,19.3,20.5,282961,271412,294510,18.2,17.4,18.9,46574,46156,46992,147112,140644,153581,22.9,21.9,23.9
2008,38,ND,North Dakota,70654,67452,73855,11.5,11,12,20023,18479,21568,14.2,13.1,15.3,11754,10354,13154,11.9,10.5,13.3,45996,45071,46921,7483,6752,8213,18.2,16.4,19.9
2008,39,OH,Ohio,1489314,1466921,1511707,13.3,13.1,13.5,496890,483476,510304,18.5,18,19,315873,304603,327143,16.2,15.6,16.8,48011,47695,48326,168643,161859,175428,23.1,22.2,24.1
