,Geographic Information,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
Year,State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
2020,25,MA,Massachusetts,"628,899","609,988","647,810",9.4,9.1,9.7,"143,199","133,788","152,610",10.9,10.2,11.6,"102,511","94,557","110,465",10.5,9.7,11.3,"87,288","85,615","88,961","37,695","32,905","42,485",11,9.6,12.4
2020,26,MI,Michigan,"1,232,948","1,207,303","1,258,593",12.6,12.3,12.9,"349,847","336,632","363,062",16.8,16.2,17.4,"241,933","230,425","253,441",15.8,15,16.6,"61,352","60,407","62,297","99,307","93,338","105,276",18.2,17.1,19.3
2020,27,MN,Minnesota,"458,302","443,110","473,494",8.3,8,8.6,"121,018","112,371","129,665",9.5,8.8,10.2,"84,640","76,810","92,470",9.1,8.3,9.9,"75,489","74,227","76,751","31,657","28,339","34,975",9.4,8.4,10.4
2020,28,MS,Mississippi,"536,535","521,304","551,766",18.7,18.2,19.2,"175,995","168,681","183,309",26,24.9,27.1,"122,573","116,311","128,835",24.7,23.4,26,"47,368","46,217","48,519","50,986","47,434","54,538",29,27,31
2020,29,MO,Missouri,"725,117","705,722","744,512",12.1,11.8,12.4,"208,410","198,953","217,867",15.5,14.8,16.2,"144,708","136,737","152,679",14.8,14,15.6,"58,812","58,125","59,499","58,334","53,449","63,219",16.4,15,17.8
2020,30,MT,Montana,"130,711","124,938","136,484",12.4,11.9,12.9,"32,949","30,774","35,124",14.6,13.6,15.6,"22,237","20,390","24,084",13.4,12.3,14.5,"57,730","55,697","59,763","9,632","8,562","10,702",16.4,14.6,18.2
2020,31,NE,Nebraska,"172,623","164,510","180,736",9.2,8.8,9.6,"47,064","43,262","50,866",10.1,9.3,10.9,"32,233","29,000","35,466",9.5,8.5,10.5,"64,735","63,539","65,931","13,148","11,330","14,966",10.5,9,12
2020,32,NV,Nevada,"386,817","371,521","402,113",12.5,12,13,"114,374","108,213","120,535",16.7,15.8,17.6,"76,354","71,274","81,434",15.2,14.2,16.2,"64,608","63,272","65,944","34,737","31,585","37,889",19.5,17.7,21.3
2020,33,NH,New Hampshire,"92,404","86,124","98,684",7,6.5,7.5,"20,726","18,286","23,166",8.4,7.4,9.4,"14,147","12,029","16,265",7.6,6.5,8.7,"81,415","79,440","83,390","5,410","4,323","6,497",8.9,7.1,10.7
2020,34,NJ,New Jersey,"818,389","792,516","844,262",9.4,9.1,9.7,"238,944","224,942","252,946",12.6,11.9,13.3,"168,155","155,954","180,356",12.1,11.2,13,"87,095","85,812","88,378","64,214","57,512","70,916",12.8,11.5,14.1
2020,35,NM,New Mexico,"346,455","333,987","358,923",16.8,16.2,17.4,"99,575","94,068","105,082",21.6,20.4,22.8,"70,994","66,236","75,752",20.6,19.2,22,"52,285","50,993","53,577","26,740","24,053","29,427",23.3,21,25.6
2020,36,NY,New York,"2,401,141","2,360,458","2,441,824",12.7,12.5,12.9,"653,300","631,185","675,415",16.7,16.1,17.3,"460,210","441,138","479,282",16.3,15.6,17,"73,354","72,798","73,910","180,596","170,262","190,930",16.8,15.8,17.8
2020,37,NC,North Carolina,"1,329,685","1,298,231","1,361,139",12.9,12.6,13.2,"404,731","387,156","422,306",17.9,17.1,18.7,"282,345","267,031","297,659",17,16.1,17.9,"59,616","58,990","60,242","115,564","107,665","123,463",19.6,18.3,20.9
2020,38,ND,North Dakota,"75,781","70,920","80,642",10.2,9.5,10.9,"19,470","17,757","21,183",10.9,9.9,11.9,"11,811","10,472","13,150",9.4,8.3,10.5,"64,289","61,883","66,695","6,951","5,908","7,994",13.3,11.3,15.3
2020,39,OH,Ohio,"1,428,219","1,398,807","1,457,631",12.6,12.3,12.9,"417,333","400,878","433,788",16.6,15.9,17.3,"281,878","267,654","296,102",15.3,14.5,16.1,"60,360","59,900","60,820","125,897","117,997","133,797",19,17.8,20.2
2020,40,OK,Oklahoma,"552,168","537,720","566,616",14.3,13.9,14.7,"173,405","166,091","180,719",18.6,17.8,19.4,"118,440","112,012","124,868",17.3,16.4,18.2,"54,512","53,669","55,355","50,924","47,445","54,403",20.8,19.4,22.2
2020,41,OR,Oregon,"457,940","442,247","473,633",11,10.6,11.4,"102,454","95,611","109,297",12.2,11.4,13,"70,179","64,179","76,179",11.3,10.3,12.3,"67,832","67,028","68,636","28,205","24,973","31,437",13.2,11.7,14.7
2020,42,PA,Pennsylvania,"1,345,976","1,318,808","1,373,144",10.9,10.7,11.1,"367,804","352,972","382,636",14.3,13.7,14.9,"258,736","246,024","271,448",13.7,13,14.4,"64,898","64,181","65,615","100,637","93,368","107,906",15,13.9,16.1
2020,44,RI,Rhode Island,"108,306","102,273","114,339",10.6,10,11.2,"28,952","26,720","31,184",14.5,13.4,15.6,"20,054","18,173","21,935",13.8,12.5,15.1,"73,919","71,346","76,492","8,290","7,160","9,420",15.7,13.6,17.8
2020,45,SC,South Carolina,"703,004","681,646","724,362",13.8,13.4,14.2,"205,775","196,758","214,792",18.7,17.9,19.5,"144,351","136,616","152,086",17.8,16.8,18.8,"57,216","56,110","58,322","58,375","53,953","62,797",20.5,19,22
2020,46,SD,South Dakota,"99,903","95,310","104,496",11.6,11.1,12.1,"29,754","27,832","31,676",13.9,13,14.8,"19,629","18,051","21,207",12.7,11.7,13.7,"61,149","59,478","62,820","9,281","8,204","10,358",15.7,13.9,17.5
2020,47,TN,Tennessee,"911,097","887,430","934,764",13.6,13.2,14,"272,337","261,026","283,648",18.4,17.6,19.2,"187,030","177,267","196,793",17.4,16.5,18.3,"56,962","56,112","57,812","79,579","74,041","85,117",20.2,18.8,21.6
2020,48,TX,Texas,"3,862,713","3,792,930","3,932,496",13.4,13.2,13.6,"1,373,643","1,333,207","1,414,079",18.8,18.2,19.4,"959,889","924,465","995,313",17.9,17.2,18.6,"66,048","65,365","66,731","390,839","370,813","410,865",20.4,19.4,21.4
2020,49,UT,Utah,"234,666","223,042","246,290",7.3,6.9,7.7,"68,900","62,582","75,218",7.5,6.8,8.2,"45,054","40,021","50,087",6.7,6,7.4,"77,785","76,480","79,090","20,230","16,783","23,677",8.5,7,10
2020,50,VT,Vermont,"56,281","52,822","59,740",9.4,8.8,10,"11,061","9,906","12,216",10,9,11,"8,025","6,996","9,054",9.7,8.5,10.9,"67,717","65,623","69,811","2,354","1,866","2,842",8.6,6.8,10.4
2020,51,VA,Virginia,"769,479","747,641","791,317",9.2,8.9,9.5,"223,617","212,309","234,925",12.2,11.6,12.8,"150,923","141,361","160,485",11.3,10.6,12,"79,154","78,336","79,972","67,255","61,585","72,925",13.7,12.5,14.9
2020,53,WA,Washington,"714,653","692,072","737,234",9.5,9.2,9.8,"179,067","167,861","190,273",11,10.3,11.7,"119,396","109,706","129,086",10.1,9.3,10.9,"80,319","79,334","81,304","53,387","47,813","58,961",12.2,10.9,13.5
2020,54,WV,West Virginia,"274,176","264,703","283,649",15.8,15.3,16.3,"70,402","66,709","74,095",20.3,19.2,21.4,"49,058","45,908","52,208",19,17.8,20.2,"49,202","48,077","50,327","19,960","18,165","21,755",22.8,20.7,24.9
2020,55,WI,Wisconsin,"571,049","554,353","587,745",10,9.7,10.3,"152,597","144,535","160,659",12.4,11.7,13.1,"102,673","95,534","109,812",11.3,10.5,12.1,"64,901","64,276","65,526","45,185","41,504","48,866",14.2,13,15.4
2020,56,WY,Wyoming,"52,418","49,007","55,829",9.2,8.6,9.8,"13,463","12,061","14,865",10.3,9.2,11.4,"8,835","7,632","10,038",9.1,7.9,10.3,"67,284","65,198","69,370","4,026","3,351","4,701",12.4,10.3,14.5
