Year,State FIPS,Postal Code,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
2007,0,US,United States,38052247,37829283,38275211,13,12.9,13,13097100,12981173,13213027,18,17.9,18.2,8499844,8419720,8579968,16.4,16.2,16.5,50740,50665,50815,4229120,4178842,4279398,20.8,20.5,21
2007,1,AL,Alabama,750197,734699,765695,16.6,16.3,17,261151,252546,269756,23.6,22.8,24.4,174665,166811,182519,21.9,20.9,22.9,40596,40178,41014,81858,78293,85424,27.1,25.9,28.2
2007,2,AK,Alaska,65266,62165,68367,9.8,9.3,10.3,23356,21652,25060,13.1,12.1,14,13787,12273,15301,10.8,9.6,12,62854,61569,64138,8104,7332,8877,16.3,14.7,17.8
2007,4,AZ,Arizona,876120,855871,896369,14.1,13.7,14.4,327941,316503,339380,20,19.3,20.7,209683,199940,219426,18.4,17.5,19.2,49923,49433,50414,109652,103335,115970,22.4,21.1,23.7
2007,5,AR,Arkansas,483510,473442,493579,17.6,17.2,17.9,173939,168262,179616,25.3,24.4,26.1,113370,108283,118457,23.2,22.1,24.2,38239,37548,38929,56804,54263,59344,29.1,27.8,30.4
2007,6,CA,California,4445392,4399379,4491405,12.4,12.3,12.6,1598466,1569345,1627586,17.3,17,17.6,1062605,1037570,1087640,16.2,15.8,16.6,59928,59636,60220,490575,476220,504931,18.8,18.3,19.4
2007,8,CO,Colorado,548520,533897,563143,11.5,11.2,11.8,179666,171281,188051,15.3,14.6,16,114762,107832,121692,14,13.1,14.8,55517,54892,56142,58735,54091,63378,17,15.7,18.4
2007,9,CT,Connecticut,269045,259952,278138,7.9,7.7,8.2,87584,82146,93022,10.8,10.2,11.5,58597,53726,63468,9.8,9,10.6,65969,65213,66725,25263,22752,27774,12.2,11,13.4
2007,10,DE,Delaware,86653,82675,90631,10.3,9.9,10.8,29005,26995,31014,14.5,13.4,15.5,18289,16540,20038,12.9,11.7,14.1,55988,54724,57251,9787,8876,10698,16.9,15.3,18.5
2007,11,DC,District of Columbia,95441,91320,99562,17.1,16.3,17.8,29069,27132,31006,25.7,24,27.4,18995,17372,20618,24.8,22.7,26.9,54812,53433,56192,9380,8338,10422,26.1,23.2,29
