,Geographic Information,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
Year,State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
2019,25,MA,Massachusetts,"631,551","615,762","647,340",9.5,9.3,9.7,"159,006","149,956","168,056",12,11.3,12.7,"112,052","103,864","120,240",11.5,10.7,12.3,"85,700","84,739","86,661","42,773","38,926","46,620",12.4,11.3,13.5
2019,26,MI,Michigan,"1,264,445","1,242,287","1,286,603",12.9,12.7,13.1,"367,411","355,641","379,181",17.5,16.9,18.1,"251,843","241,751","261,935",16.3,15.6,17,"59,522","58,955","60,089","106,347","100,517","112,177",19.2,18.1,20.3
2019,27,MN,Minnesota,"491,782","479,460","504,104",8.9,8.7,9.1,"140,103","132,789","147,417",11,10.4,11.6,"96,676","90,236","103,116",10.4,9.7,11.1,"74,529","73,721","75,337","37,965","34,848","41,082",11.1,10.2,12
2019,28,MS,Mississippi,"559,764","544,709","574,819",19.5,19,20,"189,002","181,496","196,508",27.6,26.5,28.7,"132,900","126,234","139,566",26.4,25.1,27.7,"45,928","44,793","47,063","53,708","50,514","56,902",30.2,28.4,32
2019,29,MO,Missouri,"766,238","749,437","783,039",12.9,12.6,13.2,"227,828","219,389","236,267",17,16.4,17.6,"154,869","147,454","162,284",15.9,15.1,16.7,"57,375","56,741","58,009","65,688","61,840","69,536",18.5,17.4,19.6
2019,30,MT,Montana,"130,974","125,732","136,216",12.6,12.1,13.1,"34,263","32,084","36,442",15.4,14.4,16.4,"23,011","21,172","24,850",14.2,13.1,15.3,"57,248","56,099","58,397","10,094","9,027","11,161",17,15.2,18.8
2019,31,NE,Nebraska,"186,402","179,202","193,602",9.9,9.5,10.3,"53,479","49,809","57,149",11.5,10.7,12.3,"34,436","31,274","37,598",10.3,9.4,11.2,"63,290","62,381","64,199","16,551","14,903","18,199",13.2,11.9,14.5
2019,32,NV,Nevada,"384,900","371,882","397,918",12.7,12.3,13.1,"119,574","113,748","125,400",17.6,16.7,18.5,"82,043","77,079","87,007",16.5,15.5,17.5,"63,268","62,281","64,255","34,703","31,942","37,464",19.4,17.9,20.9
2019,33,NH,New Hampshire,"98,310","92,374","104,246",7.5,7,8,"20,036","17,793","22,279",8.1,7.2,9,"13,959","11,991","15,927",7.5,6.4,8.6,"78,571","76,786","80,356","5,385","4,477","6,293",8.7,7.2,10.2
2019,34,NJ,New Jersey,"795,676","775,971","815,381",9.1,8.9,9.3,"233,496","222,893","244,099",12.2,11.6,12.8,"161,789","152,972","170,606",11.5,10.9,12.1,"85,786","85,040","86,532","65,938","60,347","71,529",13.1,12,14.2
2019,35,NM,New Mexico,"358,526","348,384","368,668",17.5,17,18,"109,631","104,537","114,725",23.5,22.4,24.6,"77,988","73,645","82,331",22.4,21.2,23.6,"52,021","51,081","52,961","29,936","27,395","32,477",25.5,23.3,27.7
2019,36,NY,New York,"2,471,760","2,439,327","2,504,193",13.1,12.9,13.3,"716,817","697,360","736,274",18.2,17.7,18.7,"485,664","469,112","502,216",17.2,16.6,17.8,"72,038","71,588","72,488","213,274","203,111","223,437",19.6,18.7,20.5
2019,37,NC,North Carolina,"1,383,760","1,358,983","1,408,537",13.6,13.4,13.8,"435,728","422,158","449,298",19.3,18.7,19.9,"300,469","288,536","312,402",18.1,17.4,18.8,"57,388","56,784","57,992","127,334","121,353","133,315",21.5,20.5,22.5
2019,38,ND,North Dakota,"77,327","72,958","81,696",10.5,9.9,11.1,"19,263","17,532","20,994",10.9,9.9,11.9,"12,685","11,256","14,114",10.2,9,11.4,"67,402","64,920","69,884","6,028","5,139","6,917",11.4,9.7,13.1
