Year,State FIPS,Postal Code,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
2009,30,MT,Montana,142257,136769,147745,15,14.5,15.6,44840,42310,47369,20.9,19.7,22.1,27924,25872,29976,18.4,17.1,19.8,42222,41282,43162,15620,14203,17037,25.5,23.2,27.8
2009,31,NE,Nebraska,212312,204807,219817,12.2,11.8,12.6,67346,63535,71157,15.3,14.4,16.2,40760,37709,43811,13.3,12.3,14.3,47470,46726,48214,23771,21696,25845,18.2,16.6,19.8
2009,32,NV,Nevada,323738,312900,334575,12.4,12,12.8,117742,111394,124091,17.6,16.7,18.6,72969,67849,78089,15.8,14.6,16.9,53310,52433,54187,41167,37486,44849,20.5,18.6,22.3
2009,33,NH,New Hampshire,110769,105285,116253,8.6,8.2,9,31278,28357,34199,11,10,12.1,19559,16997,22121,9.4,8.1,10.6,60734,59598,61871,10094,8806,11381,13.8,12.1,15.6
2009,34,NJ,New Jersey,798258,778838,817678,9.4,9.1,9.6,269659,258385,280932,13.3,12.8,13.9,177219,167612,186826,12,11.4,12.7,68444,67816,69071,85830,80135,91524,15.7,14.7,16.8
2009,35,NM,New Mexico,359030,348063,369998,18.2,17.7,18.8,129552,124002,135103,25.8,24.7,26.9,83598,79013,88183,23.8,22.5,25.2,42830,41910,43749,43951,40945,46958,29.4,27.4,31.4
2009,36,NY,New York,2708119,2674503,2741735,14.2,14.1,14.4,878114,860048,896180,20.2,19.8,20.6,590889,575090,606688,18.8,18.3,19.3,54554,54164,54945,272021,263055,280987,22.7,21.9,23.4
2009,37,NC,North Carolina,1475063,1453163,1496963,16.2,16,16.5,503713,490811,516615,22.5,21.9,23,321503,310244,332762,20.3,19.6,21.1,43754,43385,44124,172447,165988,178906,26.5,25.5,27.5
2009,38,ND,North Dakota,72911,69510,76312,11.7,11.2,12.3,20022,18467,21576,14.1,13,15.2,11733,10457,13009,11.9,10.6,13.2,47898,47011,48785,7679,6821,8537,18,16,20
2009,39,OH,Ohio,1699288,1673917,1724660,15.1,14.9,15.4,577026,562062,591990,21.6,21,22.2,371431,358289,384573,19.2,18.6,19.9,45467,45121,45813,193000,186032,199969,26.5,25.6,27.5
2009,40,OK,Oklahoma,575711,563168,588255,16.1,15.8,16.5,199277,191637,206917,22.1,21.3,23,128754,122090,135418,20.4,19.3,21.4,41716,41230,42202,65998,62202,69794,25,23.6,26.4
2009,41,OR,Oregon,536813,523814,549812,14.3,14,14.7,166073,158804,173342,19.4,18.5,20.2,106122,99818,112426,17.4,16.4,18.5,48325,47730,48920,55061,51453,58670,22.7,21.2,24.2
2009,42,PA,Pennsylvania,1517347,1494826,1539869,12.5,12.3,12.7,466423,453997,478849,17.1,16.7,17.6,305283,294855,315711,15.4,14.9,15.9,49501,49217,49784,148965,142352,155579,20.4,19.5,21.3
2009,44,RI,Rhode Island,122379,116902,127856,12,11.5,12.6,39988,37500,42476,17.9,16.8,19,27268,25171,29365,16.7,15.4,18,53243,52028,54458,11730,10410,13049,19.9,17.7,22.1
2009,45,SC,South Carolina,753286,738174,768399,17.1,16.7,17.4,258848,250548,267147,24.4,23.6,25.2,166587,159636,173538,22.1,21.2,23,42580,42034,43126,88324,83990,92658,29.1,27.6,30.5
2009,46,SD,South Dakota,110863,106257,115469,14.2,13.6,14.8,36884,34540,39228,18.9,17.7,20.1,22720,20773,24667,16.7,15.2,18.1,45048,44019,46078,13226,11998,14454,22.9,20.8,25
2009,47,TN,Tennessee,1055635,1037359,1073911,17.2,16.9,17.5,352943,342178,363709,24,23.3,24.8,223650,214805,232495,21.4,20.6,22.3,41715,41286,42143,122336,116612,128060,29.3,28,30.7
