00   0 31581086 30695361 32466811 11.3 11.0 11.6 11587118 11127838 12046398 16.2 15.5 16.8  7536575  7154100  7919050 14.6 13.9 15.4  41990  41773  42207 3583098 3312911 3853285 18.7 17.3 20.1 United States                                 US est00US.dat  03OCT2003
26   0   951435   898699  1004171  9.7  9.2 10.2   347234   318066   376402 13.7 12.5 14.8   220239   195021   245457 12.0 10.6 13.3  45202  43543  46862  108740   93772  123709 16.6 14.3 18.9 Michigan                                      MI est00US.dat  03OCT2003
27   0   336594   306447   366741  6.9  6.3  7.5   108692    92387   124996  8.7  7.4 10.0    66464    52392    80536  7.3  5.8  8.9  49170  46836  51504   34036   25432   42640 10.6  7.9 13.3 Minnesota                                     MN est00US.dat  03OCT2003
28   0   489775   466014   513535 17.6 16.8 18.5   187514   173394   201634 24.9 23.0 26.7   125571   113211   137931 23.1 20.8 25.4  32542  30566  34518   58004   51117   64891 28.3 24.9 31.6 Mississippi                                   MS est00US.dat  03OCT2003
29   0   581207   547547   614868 10.6  9.9 11.2   206913   188480   225346 14.8 13.5 16.2   129402   113503   145301 12.9 11.3 14.5  40411  38171  42651   67556   58374   76738 18.6 16.0 21.1 Missouri                                      MO est00US.dat  03OCT2003
30   0   117677   110868   124487 13.3 12.5 14.1    40497    37026    43968 18.8 17.2 20.4    24984    22007    27961 15.6 13.7 17.4  33281  31517  35044   13546   11774   15318 26.0 22.6 29.4 Montana                                       MT est00US.dat  03OCT2003
31   0   148821   138664   158978  8.9  8.3  9.5    51329    45692    56966 11.9 10.6 13.2    30863    26138    35588  9.9  8.4 11.4  40429  38599  42259   17806   14786   20827 15.6 12.9 18.2 Nebraska                                      NE est00US.dat  03OCT2003
32   0   194787   181137   208436  9.4  8.8 10.1    74546    66648    82443 13.6 12.2 15.1    49027    42340    55714 12.8 11.1 14.5  44698  42827  46568   22024   17861   26187 14.2 11.5 16.9 Nevada                                        NV est00US.dat  03OCT2003
33   0    69857    61954    77760  5.6  5.0  6.3    20938    16869    25007  6.9  5.5  8.2    11714     8249    15179  5.2  3.7  6.8  49830  47841  51820    7441    5449    9434 10.1  7.4 12.8 New Hampshire                                 NH est00US.dat  03OCT2003
34   0   647694   601743   693645  7.8  7.2  8.3   220720   195543   245896 10.5  9.3 11.7   143205   121926   164484  9.4  8.0 10.8  52990  50956  55023   68511   55528   81494 12.3 10.0 14.6 New Jersey                                    NJ est00US.dat  03OCT2003
35   0   309103   293536   324669 17.3 16.4 18.1   124940   115353   134527 25.5 23.6 27.5    85686    77390    93982 24.4 22.1 26.8  34487  32633  36341   34641   30055   39227 26.7 23.1 30.2 New Mexico                                    NM est00US.dat  03OCT2003
36   0  2466704  2360696  2572712 13.2 12.6 13.8   873087   817383   928792 19.1 17.9 20.3   605381   556672   654090 18.3 16.8 19.7  41763  40369  43157  242540  216103  268977 20.0 17.8 22.2 New York                                      NY est00US.dat  03OCT2003
37   0   934374   886338   982411 11.7 11.1 12.3   330226   304833   355619 16.5 15.2 17.7   210029   188725   231333 14.8 13.3 16.3  38889  37286  40491  106038   92256  119819 18.9 16.4 21.3 North Carolina                                NC est00US.dat  03OCT2003
38   0    64809    60381    69238 10.4  9.7 11.1    19524    17434    21613 13.1 11.7 14.5    11661     9865    13457 10.5  8.8 12.1  35636  33890  37382    7056    5990    8122 19.3 16.4 22.2 North Dakota                                  ND est00US.dat  03OCT2003
39   0  1088381  1026556  1150207  9.8  9.2 10.3   400440   364598   436282 14.1 12.8 15.3   239711   210022   269400 11.7 10.2 13.1  42054  40473  43634  143552  123793  163311 19.2 16.5 21.8 Ohio                                          OH est00US.dat  03OCT2003
40   0   467081   443803   490360 13.8 13.2 14.5   173994   160857   187131 20.0 18.5 21.6   109926    98474   121378 17.9 16.0 19.7  33417  31723  35111   55892   49371   62414 23.7 21.0 26.5 Oklahoma                                      OK est00US.dat  03OCT2003
41   0   361280   340221   382340 10.6 10.0 11.2   127544   115946   139142 15.1 13.7 16.5    81627    71244    92010 13.6 11.9 15.3  41662  39856  43468   38504   32870   44138 17.1 14.6 19.6 Oregon                                        OR est00US.dat  03OCT2003
42   0  1135928  1068605  1203251  9.5  8.9 10.0   372192   337147   407237 13.1 11.8 14.3   234433   201913   266953 11.2  9.7 12.8  41419  39877  42961  117267  100848  133686 16.6 14.3 18.9 Pennsylvania                                  PA est00US.dat  03OCT2003
44   0   106378    99727   113030 10.2  9.6 10.9    36036    32412    39661 15.0 13.4 16.5    25050    21868    28232 14.3 12.5 16.1  42305  40560  44049   10077    8288   11866 16.4 13.5 19.3 Rhode Island                                  RI est00US.dat  03OCT2003
45   0   504961   479100   530821 12.8 12.1 13.4   177786   164303   191269 18.2 16.8 19.6   116133   104652   127614 16.4 14.8 18.0  37283  35475  39091   55653   48741   62564 21.5 18.9 24.2 South Carolina                                SC est00US.dat  03OCT2003
46   0    84282    78978    89586 11.4 10.7 12.1    29513    26522    32503 15.1 13.6 16.7    18369    15866    20872 13.0 11.2 14.7  36146  34446  37845   10039    8428   11650 20.0 16.8 23.2 South Dakota                                  SD est00US.dat  03OCT2003
47   0   709555   672363   746746 12.6 12.0 13.3   245446   225852   265041 17.8 16.4 19.3   155593   138578   172608 15.7 14.0 17.4  35760  33970  37550   80709   70477   90942 21.8 19.0 24.5 Tennessee                                     TN est00US.dat  03OCT2003
48   0  3041115  2914109  3168120 14.6 14.0 15.2  1237626  1161696  1313556 20.7 19.4 22.0   794384   729985   858783 18.8 17.3 20.4  39090  37763  40418  401761  361136  442387 24.0 21.5 26.4 Texas                                         TX est00US.dat  03OCT2003
49   0   198434   183373   213495  8.8  8.2  9.5    78481    68386    88576 11.1  9.6 12.5    43761    35791    51731  8.9  7.3 10.5  45934  43931  47938   29971   23904   36038 14.0 11.2 16.8 Utah                                          UT est00US.dat  03OCT2003
50   0    53236    49439    57032  8.8  8.2  9.5    16042    14223    17861 11.6 10.3 12.9     9677     8084    11270  9.3  7.7 10.8  40537  38784  42289    5279    4388    6170 16.8 14.0 19.7 Vermont                                       VT est00US.dat  03OCT2003
51   0   620938   579352   662524  8.9  8.3  9.5   211862   189838   233885 12.2 10.9 13.4   135895   117314   154476 10.8  9.3 12.3  46789  44940  48638   64803   53033   76573 13.9 11.4 16.5 Virginia                                      VA est00US.dat  03OCT2003
53   0   567575   530518   604633  9.6  9.0 10.3   196800   177285   216316 13.2 11.9 14.5   122555   106766   138344 11.4  9.9 12.9  44846  42913  46779   65828   54399   77257 16.8 13.9 19.7 Washington                                    WA est00US.dat  03OCT2003
54   0   273986   258302   289671 15.5 14.6 16.4    85417    78843    91992 21.9 20.2 23.6    57526    51812    63240 20.1 18.1 22.1  30187  28527  31847   25656   22483   28829 26.1 22.9 29.3 West Virginia                                 WV est00US.dat  03OCT2003
55   0   430657   397930   463384  8.1  7.5  8.8   147285   129096   165474 11.0  9.7 12.4    92708    76723   108693  9.5  7.9 11.2  44503  42693  46313   46805   38351   55260 13.9 11.4 16.5 Wisconsin                                     WI est00US.dat  03OCT2003
56   0    50357    47050    53665 10.4  9.8 11.1    16966    15203    18730 13.9 12.4 15.3     9821     8302    11340 11.0  9.3 12.7  38934  37098  40770    6003    5125    6881 20.0 17.0 22.9 Wyoming                                       WY est00US.dat  03OCT2003
