Year,State FIPS,Postal Code,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
2006,0,US,United States,38757253,38535015,38979491,13.3,13.2,13.4,13285569,13170950,13400188,18.3,18.2,18.5,8700048,8613863,8786233,16.7,16.6,16.9,48451,48369,48533,4211345,4166465,4256225,21,20.8,21.2
2006,1,AL,Alabama,743556,730298,756815,16.6,16.3,16.9,253314,246023,260606,23.1,22.4,23.8,171004,164556,177452,21.5,20.7,22.3,38811,38320,39302,77388,74009,80767,26.3,25.1,27.4
2006,2,AK,Alaska,71120,68060,74180,10.9,10.4,11.4,25804,24148,27461,14.6,13.6,15.5,16364,14831,17897,12.8,11.6,14,58572,57446,59699,8346,7629,9063,17.1,15.6,18.6
2006,4,AZ,Arizona,860355,842853,877857,14.2,13.9,14.5,316241,305732,326749,19.8,19.1,20.5,203223,194057,212389,18.2,17.4,19,47315,46890,47740,104911,99716,110107,22.3,21.2,23.4
2006,5,AR,Arkansas,471161,461380,480941,17.3,16.9,17.6,166630,161218,172041,24.6,23.8,25.4,106787,101922,111652,22.1,21.1,23.1,36627,36155,37100,55174,52655,57693,29.3,28,30.7
2006,6,CA,California,4686706,4635529,4737883,13.1,13,13.3,1693631,1662924,1724337,18.1,17.7,18.4,1146351,1118784,1173918,17.1,16.7,17.5,56646,56412,56880,503635,490269,517001,19.1,18.6,19.6
2006,8,CO,Colorado,539332,526383,552282,11.6,11.3,11.9,170379,162754,178003,14.8,14.1,15.5,108406,101958,114854,13.4,12.6,14.2,52265,51785,52746,56770,52626,60914,17,15.7,18.2
2006,9,CT,Connecticut,281079,272045,290112,8.3,8,8.5,88087,82744,93429,10.9,10.3,11.6,60084,55257,64911,10,9.2,10.8,63352,62601,64102,25111,22919,27303,12.6,11.5,13.6
2006,10,DE,Delaware,88749,84936,92563,10.7,10.2,11.2,29622,27711,31533,14.8,13.9,15.8,18942,17211,20673,13.3,12.1,14.5,53714,52603,54824,9638,8779,10497,17.1,15.6,18.7
2006,11,DC,District of Columbia,99671,95790,103552,18.1,17.4,18.8,31856,30053,33659,28.3,26.7,29.9,21548,19981,23115,27.6,25.6,29.6,51746,50754,52739,9767,8859,10676,28.9,26.2,31.6
2006,12,FL,Florida,2232534,2201543,2263526,12.6,12.4,12.8,695303,677399,713207,17.6,17.2,18.1,448742,432743,464741,15.9,15.3,16.5,45494,45250,45739,224402,216160,232643,20.4,19.6,21.1
2006,13,GA,Georgia,1340255,1318908,1361603,14.8,14.5,15,489021,477056,500985,20.3,19.8,20.8,316838,306642,327034,18.6,18,19.2,46808,46417,47198,157983,151740,164226,23,22.1,23.9
2006,15,HI,Hawaii,117811,112601,123021,9.4,9,9.8,34462,31744,37181,11.8,10.9,12.7,21325,18997,23653,10.4,9.3,11.6,60554,59522,61586,11171,9779,12562,13,11.4,14.6
2006,16,ID,Idaho,182933,177567,188299,12.8,12.4,13.2,61771,58540,65002,16,15.1,16.8,37915,35165,40665,13.9,12.9,14.9,42846,42066,43625,21276,19625,22926,19.2,17.7,20.7
2006,17,IL,Illinois,1536133,1513055,1559212,12.3,12.1,12.5,539870,525441,554299,17,16.6,17.5,359381,346729,372033,15.7,15.2,16.3,52012,51741,52282,168290,161398,175182,19.2,18.4,20
2006,18,IN,Indiana,768642,752872,784412,12.5,12.3,12.8,268729,258879,278579,17.4,16.7,18,169960,161204,178716,15.3,14.5,16.1,45414,45005,45822,89319,84762,93877,21.1,20,22.2
2006,19,IA,Iowa,315973,308007,323939,11,10.7,11.3,96323,91986,100659,13.8,13.2,14.5,59918,56081,63755,11.9,11.1,12.7,44560,44059,45061,31958,29927,33989,17,15.9,18
2006,20,KS,Kansas,327103,319106,335100,12.2,11.9,12.5,105191,100418,109965,15.4,14.7,16.1,64427,60249,68605,13.2,12.3,14,45369,44881,45856,36901,34689,39114,19.3,18.1,20.4
2006,21,KY,Kentucky,694866,681445,708288,17,16.7,17.3,226101,219415,232787,23.1,22.4,23.8,147717,141820,153614,21,20.2,21.8,39318,38806,39829,72114,68723,75505,26.7,25.5,28
2006,22,LA,Louisiana,808319,793411,823226,19.4,19,19.8,302938,294063,311813,28.2,27.4,29,204197,196023,212371,26.4,25.4,27.5,39122,38547,39697,94159,90435,97882,31.8,30.5,33
2006,23,ME,Maine,163293,158168,168418,12.7,12.3,13.1,46379,43957,48800,16.9,16,17.8,29043,26920,31166,14.3,13.3,15.4,43472,42769,44176,14748,13590,15906,21.4,19.7,23.1
2006,24,MD,Maryland,436978,424584,449373,8,7.8,8.2,134767,127270,142264,10.1,9.5,10.6,87141,80676,93606,9,8.3,9.7,65041,64421,65661,41471,37808,45134,11.4,10.4,12.4
2006,25,MA,Massachusetts,623775,609722,637827,10,9.8,10.2,180929,173342,188516,12.6,12.1,13.2,118696,111952,125440,11.4,10.8,12.1,59930,59343,60516,55501,51901,59100,14.5,13.5,15.4
2006,26,MI,Michigan,1328888,1308910,1348866,13.5,13.3,13.7,444913,433102,456723,18.3,17.8,18.8,301403,290997,311809,16.8,16.3,17.4,47187,46875,47500,129214,123902,134527,20.6,19.8,21.5
2006,27,MN,Minnesota,487044,476843,497246,9.7,9.5,9.9,148700,142567,154833,12,11.5,12.5,93849,88656,99042,10.5,10,11.1,54022,53590,54453,48377,45266,51487,14.2,13.3,15.1
2006,28,MS,Mississippi,588288,576485,600090,20.9,20.5,21.3,220128,213339,226918,29.5,28.6,30.4,149554,143307,155801,27.9,26.7,29.1,34615,34033,35197,67198,64254,70141,32.7,31.3,34.1
2006,29,MO,Missouri,783101,767350,798852,13.8,13.5,14.1,267968,258905,277032,19.3,18.6,19.9,173091,164960,181222,17.3,16.5,18.1,42838,42404,43272,86413,82313,90512,22.7,21.7,23.8
2006,30,MT,Montana,132537,128341,136733,14.4,13.9,14.8,41287,39165,43409,19.3,18.3,20.3,26185,24293,28077,16.9,15.7,18.1,40299,39637,40961,13309,12273,14346,23.4,21.5,25.2
2006,31,NE,Nebraska,194595,188562,200629,11.3,11,11.7,62877,59609,66145,14.4,13.7,15.1,37876,35047,40705,12.3,11.4,13.2,45369,44820,45919,21990,20314,23667,17.5,16.1,18.8
2006,32,NV,Nevada,257828,249773,265884,10.5,10.2,10.8,89054,84448,93661,14.3,13.5,15,56477,52504,60450,12.9,11.9,13.8,52800,51901,53699,29039,26539,31539,16.1,14.7,17.4
2006,33,NH,New Hampshire,101872,97269,106474,8,7.6,8.3,28002,25596,30409,9.6,8.8,10.4,17310,15140,19480,8,7,8.9,59265,58249,60282,8809,7743,9875,12.2,10.7,13.6
2006,34,NJ,New Jersey,740721,723870,757571,8.7,8.5,8.9,240770,230862,250678,11.7,11.2,12.1,161972,153146,170798,10.8,10.2,11.3,64549,63930,65168,71817,67479,76155,13,12.2,13.8
2006,35,NM,New Mexico,350120,342066,358174,18.3,17.9,18.7,127618,123270,131966,25.6,24.7,26.5,84367,80510,88224,23.6,22.5,24.7,40610,39949,41271,40718,38644,42792,29.2,27.7,30.7
2006,36,NY,New York,2670773,2642290,2699255,14.2,14.1,14.4,892463,875214,909712,20.1,19.7,20.5,610054,595231,624877,19,18.5,19.4,51340,51088,51593,262323,253036,271610,21.9,21.1,22.7
2006,37,NC,North Carolina,1256624,1236931,1276316,14.6,14.4,14.9,426469,414382,438555,20.1,19.5,20.7,275274,264915,285633,18.3,17.6,18.9,42721,42294,43148,140125,134132,146119,23.3,22.3,24.3
2006,38,ND,North Dakota,71059,68259,73860,11.7,11.3,12.2,19809,18493,21126,14,13.1,15,12125,10950,13300,12,10.8,13.1,41852,40987,42716,6808,6174,7442,17.5,15.9,19.2
2006,39,OH,Ohio,1475788,1450517,1501058,13.2,13,13.5,502846,488389,517302,18.5,18,19,325254,312506,338002,16.4,15.8,17.1,44609,44263,44955,163320,156831,169809,22.7,21.8,23.6
2006,40,OK,Oklahoma,576689,565264,588114,16.7,16.3,17,205832,199312,212352,23.5,22.8,24.3,130899,125184,136614,21.1,20.2,22,38753,38146,39360,69019,65968,72070,27.9,26.6,29.1
2006,41,OR,Oregon,487358,475915,498802,13.4,13.1,13.8,147558,141234,153883,17.6,16.8,18.3,93570,87905,99235,15.4,14.4,16.3,46228,45746,46710,48118,45190,51047,21.3,20,22.6
2006,42,PA,Pennsylvania,1442858,1421887,1463830,12,11.8,12.2,459207,445875,472538,16.7,16.2,17.1,303124,291104,315144,15,14.4,15.5,46256,45970,46542,141927,136022,147831,19.9,19.1,20.7
2006,44,RI,Rhode Island,117585,113110,122061,11.5,11,11.9,37496,35385,39607,16,15.1,16.9,25653,23712,27594,14.9,13.7,16,51324,50361,52287,11080,10155,12006,18,16.5,19.5
2006,45,SC,South Carolina,657405,644326,670485,15.7,15.4,16,226703,220008,233397,22.2,21.5,22.8,150695,144741,156649,20.4,19.6,21.2,41204,40784,41624,70351,67329,73373,25.3,24.2,26.3
2006,46,SD,South Dakota,102589,99011,106166,13.6,13.1,14.1,33697,31824,35571,17.7,16.8,18.7,20711,19065,22357,15.4,14.2,16.7,42432,41574,43291,11688,10746,12630,21.7,20,23.5
2006,47,TN,Tennessee,947105,930055,964154,16.1,15.8,16.4,319893,310580,329206,22.6,22,23.3,207744,199432,216056,20.5,19.7,21.3,40368,39955,40781,103839,99170,108508,26.6,25.4,27.8
