,Geographic Information,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
Year,State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
2018,0,US,United States,"41,852,315","41,619,366","42,085,264",13.1,13,13.2,"12,997,532","12,873,127","13,121,937",18,17.8,18.2,"8,930,152","8,834,521","9,025,783",17,16.8,17.2,"61,937","61,843","62,031","3,758,704","3,714,862","3,802,546",19.5,19.3,19.7
2018,1,AL,Alabama,"801,758","785,668","817,848",16.8,16.5,17.1,"255,613","247,744","263,482",23.9,23.2,24.6,"178,175","171,349","185,001",22.8,21.9,23.7,"49,881","49,123","50,639","73,915","69,990","77,840",26,24.6,27.4
2018,2,AK,Alaska,"80,224","76,253","84,195",11.1,10.5,11.7,"26,096","24,139","28,053",14.5,13.4,15.6,"16,827","15,140","18,514",13.2,11.9,14.5,"74,912","73,075","76,749","8,255","7,260","9,250",15.9,14,17.8
2018,4,AZ,Arizona,"990,291","970,614","1,009,968",14.1,13.8,14.4,"328,780","317,583","339,977",20.4,19.7,21.1,"227,586","217,990","237,182",19.2,18.4,20,"59,079","58,366","59,792","95,415","89,693","101,137",22.4,21.1,23.7
2018,5,AR,Arkansas,"492,306","478,253","506,359",16.8,16.3,17.3,"164,056","157,120","170,992",23.8,22.8,24.8,"110,333","104,406","116,260",22.1,20.9,23.3,"47,094","46,401","47,787","50,658","47,249","54,067",27.2,25.4,29
2018,6,CA,California,"4,972,955","4,927,111","5,018,799",12.8,12.7,12.9,"1,539,628","1,512,838","1,566,418",17.4,17.1,17.7,"1,086,618","1,063,217","1,110,019",16.9,16.5,17.3,"75,250","74,934","75,566","416,678","403,143","430,213",17.5,16.9,18.1
2018,8,CO,Colorado,"540,579","526,780","554,378",9.7,9.5,9.9,"151,618","143,217","160,019",12.1,11.4,12.8,"105,173","97,675","112,671",11.5,10.7,12.3,"71,949","71,309","72,589","40,263","36,753","43,773",12.2,11.1,13.3
2018,9,CT,Connecticut,"358,519","347,713","369,325",10.3,10,10.6,"100,250","94,949","105,551",13.8,13.1,14.5,"70,910","66,291","75,529",13,12.2,13.8,"76,366","75,484","77,248","26,438","23,854","29,022",14.8,13.4,16.2
2018,10,DE,Delaware,"114,691","108,944","120,438",12.2,11.6,12.8,"35,031","32,638","37,424",17.6,16.4,18.8,"24,091","22,018","26,164",16.5,15.1,17.9,"65,467","64,062","66,872","9,997","8,861","11,133",19,16.8,21.2
