,Geographic Information,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
2018,11,DC,District of Columbia,"107,806","101,833","113,779",16.1,15.2,17,"30,803","27,014","34,592",24.5,21.5,27.5,"20,062","16,610","23,514",24.8,20.5,29.1,"82,533","80,186","84,880","10,267","8,900","11,634",23,19.9,26.1
2018,12,FL,Florida,"2,854,438","2,815,667","2,893,209",13.7,13.5,13.9,"831,420","809,956","852,884",20,19.5,20.5,"569,270","550,737","587,803",18.8,18.2,19.4,"55,433","55,052","55,814","242,357","232,495","252,219",21.8,20.9,22.7
2018,13,GA,Georgia,"1,484,439","1,458,654","1,510,224",14.5,14.2,14.8,"516,311","501,546","531,076",21,20.4,21.6,"360,513","348,023","373,003",19.9,19.2,20.6,"58,634","57,940","59,328","145,780","137,680","153,880",22.7,21.4,24
2018,15,HI,Hawaii,"124,400","118,134","130,666",9,8.5,9.5,"35,184","32,034","38,334",11.8,10.7,12.9,"22,819","20,314","25,324",10.8,9.6,12,"80,527","78,756","82,298","10,956","9,092","12,820",13,10.8,15.2
2018,16,ID,Idaho,"201,804","194,060","209,548",11.7,11.3,12.1,"62,392","58,102","66,682",14.2,13.2,15.2,"41,467","37,605","45,329",12.8,11.6,14,"55,524","54,649","56,399","18,876","17,104","20,648",16.6,15,18.2
2018,17,IL,Illinois,"1,509,348","1,485,972","1,532,724",12.1,11.9,12.3,"457,282","442,712","471,852",16.2,15.7,16.7,"314,467","301,816","327,118",15.3,14.7,15.9,"65,063","64,570","65,556","131,558","124,748","138,368",17.7,16.8,18.6
2018,18,IN,Indiana,"844,165","826,659","861,671",13,12.7,13.3,"268,470","258,334","278,606",17.5,16.8,18.2,"180,400","171,994","188,806",16.2,15.4,17,"55,725","55,210","56,240","79,691","75,156","84,226",19.7,18.6,20.8
2018,19,IA,Iowa,"342,574","332,902","352,246",11.2,10.9,11.5,"96,859","91,572","102,146",13.5,12.8,14.2,"64,851","60,212","69,490",12.5,11.6,13.4,"60,071","59,227","60,915","28,245","25,777","30,713",14.5,13.2,15.8
2018,20,KS,Kansas,"336,892","326,660","347,124",11.9,11.5,12.3,"102,616","97,199","108,033",14.8,14,15.6,"68,153","63,396","72,910",13.5,12.6,14.4,"58,150","57,401","58,899","31,157","28,414","33,900",16.9,15.4,18.4
2018,21,KY,Kentucky,"723,053","707,601","738,505",16.7,16.3,17.1,"219,283","210,957","227,609",22.3,21.5,23.1,"150,539","143,195","157,883",21.2,20.2,22.2,"50,189","49,631","50,747","64,298","60,484","68,112",24.2,22.8,25.6
2018,22,LA,Louisiana,"848,005","830,136","865,874",18.7,18.3,19.1,"286,532","276,951","296,113",26.5,25.6,27.4,"196,348","188,095","204,601",25.2,24.1,26.3,"48,021","47,301","48,741","87,660","82,799","92,521",29.2,27.6,30.8
2018,23,ME,Maine,"151,458","145,939","156,977",11.6,11.2,12,"35,960","33,575","38,345",14.8,13.8,15.8,"24,279","22,163","26,395",13.6,12.4,14.8,"55,579","54,367","56,791","9,894","8,782","11,006",15.9,14.1,17.7
2018,24,MD,Maryland,"538,824","523,341","554,307",9.1,8.8,9.4,"159,872","150,870","168,874",12.1,11.4,12.8,"111,001","103,211","118,791",11.6,10.8,12.4,"83,076","82,103","84,049","43,605","39,494","47,716",12.3,11.1,13.5
2018,25,MA,Massachusetts,"668,402","652,693","684,111",10,9.8,10.2,"166,516","157,639","175,393",12.4,11.7,13.1,"114,731","106,883","122,579",11.6,10.8,12.4,"79,817","78,891","80,743","46,225","42,232","50,218",13.2,12.1,14.3
2018,26,MI,Michigan,"1,369,235","1,349,291","1,389,179",14,13.8,14.2,"409,201","398,097","420,305",19.3,18.8,19.8,"278,372","268,693","288,051",17.9,17.3,18.5,"56,640","56,237","57,043","121,410","115,951","126,869",21.8,20.8,22.8
2018,27,MN,Minnesota,"527,445","514,989","539,901",9.6,9.4,9.8,"147,732","140,356","155,108",11.5,10.9,12.1,"100,105","93,461","106,749",10.8,10.1,11.5,"70,295","69,764","70,826","42,125","38,872","45,378",12.1,11.2,13
2018,28,MS,Mississippi,"571,402","557,711","585,093",19.8,19.3,20.3,"195,794","189,072","202,516",28.2,27.2,29.2,"138,665","132,814","144,516",27,25.9,28.1,"44,740","43,972","45,508","55,423","52,217","58,629",30.8,29,32.6
2018,29,MO,Missouri,"785,343","769,878","800,808",13.2,12.9,13.5,"245,703","236,272","255,134",18.3,17.6,19,"166,723","158,453","174,993",17.1,16.3,17.9,"54,412","53,683","55,141","71,760","67,630","75,890",19.9,18.8,21
2018,30,MT,Montana,"134,185","128,732","139,638",12.9,12.4,13.4,"36,711","34,369","39,053",16.4,15.4,17.4,"23,935","21,925","25,945",14.8,13.6,16,"55,248","54,156","56,340","11,216","10,071","12,361",18.4,16.5,20.3
2018,31,NE,Nebraska,"205,393","198,766","212,020",11,10.6,11.4,"60,389","56,678","64,100",12.9,12.1,13.7,"38,488","35,280","41,696",11.5,10.5,12.5,"59,724","58,713","60,735","19,474","17,544","21,404",15,13.5,16.5
2018,32,NV,Nevada,"391,347","380,868","401,826",13.1,12.7,13.5,"124,828","119,343","130,313",18.4,17.6,19.2,"84,145","79,553","88,737",17.1,16.2,18,"58,740","57,678","59,802","37,131","34,157","40,105",20.5,18.9,22.1
2018,33,NH,New Hampshire,"100,076","95,577","104,575",7.6,7.3,7.9,"25,379","22,837","27,921",10.1,9.1,11.1,"17,007","14,785","19,229",9,7.8,10.2,"75,322","73,932","76,712","7,159","5,972","8,346",11.6,9.7,13.5
2018,34,NJ,New Jersey,"831,386","812,117","850,655",9.5,9.3,9.7,"261,055","249,871","272,239",13.5,12.9,14.1,"179,815","170,183","189,447",12.7,12,13.4,"81,777","81,105","82,449","76,035","70,434","81,636",15,13.9,16.1
2018,35,NM,New Mexico,"386,739","375,921","397,557",18.8,18.3,19.3,"119,378","114,036","124,720",25.3,24.2,26.4,"83,411","78,764","88,058",24,22.7,25.3,"47,405","46,537","48,273","32,929","30,632","35,226",27.2,25.3,29.1
2018,36,NY,New York,"2,603,303","2,569,152","2,637,454",13.7,13.5,13.9,"751,694","733,127","770,261",18.8,18.3,19.3,"511,149","495,576","526,722",17.8,17.3,18.3,"67,648","67,021","68,275","220,997","211,205","230,789",19.9,19,20.8
2018,37,NC,North Carolina,"1,422,154","1,396,634","1,447,674",14.1,13.8,14.4,"457,103","444,178","470,028",20.2,19.6,20.8,"314,320","303,388","325,252",19,18.3,19.7,"53,922","53,358","54,486","129,669","122,803","136,535",21.8,20.6,23
2018,38,ND,North Dakota,"77,959","73,677","82,241",10.6,10,11.2,"19,332","17,588","21,076",11,10,12,"11,823","10,402","13,244",9.6,8.4,10.8,"65,250","63,367","67,133","6,936","5,975","7,897",13,11.2,14.8
2018,39,OH,Ohio,"1,568,586","1,542,309","1,594,863",13.8,13.6,14,"489,053","474,343","503,763",19.2,18.6,19.8,"329,764","317,103","342,425",17.8,17.1,18.5,"56,155","55,735","56,575","149,036","141,573","156,499",22.1,21,23.2
2018,40,OK,Oklahoma,"593,936","581,499","606,373",15.5,15.2,15.8,"200,399","193,606","207,192",21.4,20.7,22.1,"135,073","129,168","140,978",19.9,19,20.8,"51,914","51,468","52,360","61,006","57,723","64,289",24.3,23,25.6
2018,41,OR,Oregon,"516,014","501,947","530,081",12.5,12.2,12.8,"134,073","126,558","141,588",15.7,14.8,16.6,"88,779","82,439","95,119",14.3,13.3,15.3,"63,168","62,169","64,167","38,794","34,913","42,675",17.1,15.4,18.8
2018,42,PA,Pennsylvania,"1,517,936","1,494,550","1,541,322",12.2,12,12.4,"433,329","420,626","446,032",16.7,16.2,17.2,"302,127","291,143","313,111",15.9,15.3,16.5,"60,891","60,577","61,205","120,441","113,858","127,024",17.6,16.6,18.6
2018,44,RI,Rhode Island,"130,538","124,551","136,525",12.8,12.2,13.4,"36,239","33,846","38,632",18,16.8,19.2,"24,495","22,432","26,558",16.7,15.3,18.1,"63,787","62,087","65,487","10,747","9,539","11,955",20.1,17.8,22.4
2018,45,SC,South Carolina,"750,582","733,961","767,203",15.2,14.9,15.5,"241,192","232,102","250,282",22.1,21.3,22.9,"170,543","162,381","178,705",21.3,20.3,22.3,"52,449","51,828","53,070","67,318","63,147","71,489",23.6,22.1,25.1
2018,46,SD,South Dakota,"109,814","105,334","114,294",12.9,12.4,13.4,"34,211","32,170","36,252",16.1,15.1,17.1,"22,250","20,615","23,885",14.8,13.7,15.9,"57,041","55,711","58,371","11,044","9,866","12,222",18.4,16.4,20.4
2018,47,TN,Tennessee,"1,003,055","982,886","1,023,224",15.2,14.9,15.5,"322,616","311,705","333,527",21.8,21.1,22.5,"215,957","206,366","225,548",20,19.1,20.9,"52,366","51,884","52,848","100,821","95,777","105,865",25.6,24.3,26.9
2018,48,TX,Texas,"4,181,623","4,132,580","4,230,666",14.9,14.7,15.1,"1,543,228","1,511,665","1,574,791",21.1,20.7,21.5,"1,070,901","1,043,460","1,098,342",20.2,19.7,20.7,"60,632","60,354","60,910","448,638","433,079","464,197",22.7,21.9,23.5
2018,49,UT,Utah,"283,562","272,328","294,796",9.1,8.7,9.5,"89,015","82,557","95,473",9.7,9,10.4,"59,921","54,228","65,614",9,8.1,9.9,"71,381","70,662","72,100","26,242","23,344","29,140",10.6,9.4,11.8
2018,50,VT,Vermont,"64,431","60,844","68,018",10.7,10.1,11.3,"13,791","12,515","15,067",12.2,11.1,13.3,"9,359","8,198","10,520",11.3,9.9,12.7,"60,917","59,541","62,293","3,420","2,872","3,968",11.9,10,13.8
2018,51,VA,Virginia,"884,898","865,159","904,637",10.7,10.5,10.9,"253,481","242,464","264,498",13.8,13.2,14.4,"169,939","160,497","179,381",12.8,12.1,13.5,"72,600","71,931","73,269","75,718","70,578","80,858",15.2,14.2,16.2
2018,53,WA,Washington,"761,941","745,531","778,351",10.3,10.1,10.5,"205,912","195,966","215,858",12.6,12,13.2,"137,938","129,324","146,552",11.7,11,12.4,"74,023","73,343","74,703","60,053","55,420","64,686",13.3,12.3,14.3
2018,54,WV,West Virginia,"305,656","296,233","315,079",17.4,16.9,17.9,"82,213","78,182","86,244",23.2,22.1,24.3,"56,706","53,235","60,177",21.8,20.5,23.1,"44,038","43,071","45,005","23,534","21,560","25,508",25.7,23.5,27.9
2018,55,WI,Wisconsin,"626,748","613,179","640,317",11.1,10.9,11.3,"176,595","169,553","183,637",14.1,13.5,14.7,"118,597","112,435","124,759",12.9,12.2,13.6,"60,779","60,392","61,166","51,903","48,519","55,287",16,15,17
2018,56,WY,Wyoming,"60,097","56,071","64,123",10.7,10,11.4,"17,314","15,745","18,883",13.1,11.9,14.3,"11,232","9,889","12,575",11.6,10.2,13,"62,259","60,969","63,549","5,539","4,745","6,333",15.9,13.6,18.2
