Year,State FIPS,Postal Code,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
2005,0,US,United States,38231474,37934924,38528024,13.3,13.2,13.4,13360273,13217771,13502775,18.5,18.4,18.7,8765541,8662789,8868293,17,16.8,17.2,46242,46138,46346,4242948,4187205,4298691,21.3,21,21.5
2005,1,AL,Alabama,749592,734673,764511,16.9,16.6,17.3,260919,252894,268944,24.3,23.6,25.1,172197,165523,178871,22.3,21.4,23.2,36936,36431,37441,83890,79692,88088,28.6,27.2,30
2005,2,AK,Alaska,69093,65951,72236,10.8,10.3,11.3,25976,24182,27769,14.2,13.2,15.2,16841,15328,18354,12.8,11.6,13.9,55477,54210,56743,7757,6911,8602,15.8,14,17.5
2005,4,AZ,Arizona,836742,818414,855071,14.4,14.1,14.7,323003,311747,334258,20.9,20.2,21.6,205175,196027,214323,18.9,18.1,19.8,44402,43799,45004,110038,103639,116437,24.3,22.9,25.7
2005,5,AR,Arkansas,461758,451804,471711,17.2,16.8,17.5,165059,159639,170479,25,24.2,25.8,108273,103719,112827,22.9,22,23.9,35041,34476,35606,52542,49764,55320,28.6,27,30.1
2005,6,CA,California,4669056,4608110,4730003,13.3,13.1,13.5,1761755,1722836,1800674,18.5,18.1,19,1197835,1163347,1232323,17.6,17.1,18.1,53627,53309,53944,519125,502277,535974,19.7,19.1,20.3
2005,8,CO,Colorado,497763,484825,510702,10.9,10.7,11.2,163374,156129,170619,14,13.4,14.7,101811,95835,107787,12.4,11.7,13.1,50841,50312,51370,56039,51966,60113,16.7,15.5,17.9
2005,9,CT,Connecticut,282379,271499,293259,8.3,8,8.7,93716,87706,99726,11.4,10.7,12.2,62095,56746,67444,10.2,9.3,11.1,60840,60100,61581,27734,25026,30441,13.3,12,14.6
2005,10,DE,Delaware,84291,80657,87924,10.3,9.9,10.8,27692,25864,29520,14.4,13.5,15.4,17149,15648,18650,12.6,11.5,13.7,52508,51414,53601,9513,8570,10456,17.6,15.8,19.3
2005,11,DC,District of Columbia,93799,90549,97049,18.3,17.6,18.9,32459,30754,34164,29.6,28,31.1,19634,18337,20931,27.1,25.3,28.9,48078,46787,49369,12195,11153,13237,33.1,30.2,35.9
2005,12,FL,Florida,2220829,2186876,2254782,12.8,12.6,13,719164,700137,738192,18.1,17.6,18.6,474430,458029,490831,16.6,16,17.2,42437,42169,42705,225415,215411,235419,20.6,19.7,21.5
