Year,State FIPS,Postal Code,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
2010,0,US,United States,"46,215,956","45,975,650","46,456,262",15.3,15.2,15.4,"15,749,129","15,621,395","15,876,863",21.6,21.4,21.8,"10,484,513","10,394,015","10,575,011",19.8,19.6,20,"50,046","49,982","50,110","4,961,524","4,910,772","5,012,276",25,24.8,25.2
2010,1,AL,Alabama,"883,078","867,106","899,050",18.9,18.6,19.2,"305,292","296,223","314,361",27.4,26.6,28.2,"207,778","199,900","215,656",25.6,24.6,26.6,"40,538","40,081","40,995","93,895","89,540","98,250",31.3,29.8,32.8
2010,2,AK,Alaska,"76,850","72,916","80,784",11,10.4,11.6,"27,209","25,096","29,322",14.8,13.6,16,"15,714","13,861","17,567",12.1,10.7,13.5,"63,456","62,061","64,851","10,481","9,515","11,447",19.8,18,21.6
2010,4,AZ,Arizona,"1,105,075","1,082,284","1,127,866",17.6,17.2,18,"401,664","387,835","415,493",25,24.1,25.9,"263,822","251,690","275,954",23,21.9,24.1,"46,787","46,278","47,296","129,973","123,200","136,746",29,27.5,30.5
2010,5,AR,Arkansas,"529,710","518,451","540,969",18.7,18.3,19.1,"190,538","184,070","197,006",27.3,26.4,28.2,"124,638","118,946","130,330",24.9,23.8,26,"38,413","37,806","39,020","61,985","58,970","65,000",32,30.4,33.6
2010,6,CA,California,"5,785,036","5,732,381","5,837,691",15.8,15.7,15.9,"2,012,723","1,979,594","2,045,852",22,21.6,22.4,"1,382,859","1,353,694","1,412,024",20.8,20.4,21.2,"57,664","57,316","58,012","588,090","573,739","602,441",23.7,23.1,24.3
2010,8,CO,Colorado,"651,744","636,277","667,211",13.2,12.9,13.5,"207,165","198,566","215,764",17.1,16.4,17.8,"131,486","124,025","138,947",15.1,14.2,16,"54,411","53,726","55,096","70,745","66,602","74,888",20.8,19.6,22
2010,9,CT,Connecticut,"348,881","338,009","359,753",10.1,9.8,10.4,"103,003","96,964","109,042",12.8,12.1,13.5,"68,661","63,160","74,162",11.3,10.4,12.2,"64,321","63,372","65,270","32,374","29,778","34,970",16.3,15,17.6
2010,10,DE,Delaware,"104,456","99,719","109,193",11.9,11.4,12.4,"36,018","33,638","38,398",17.8,16.6,19,"23,356","21,250","25,462",15.9,14.5,17.3,"56,172","55,018","57,326","11,938","10,826","13,050",22.1,20,24.2
2010,11,DC,District of Columbia,"107,279","102,359","112,199",18.8,17.9,19.7,"31,147","28,720","33,574",31.1,28.7,33.5,"20,872","18,719","23,025",30.9,27.7,34.1,"60,729","59,552","61,906","9,786","8,770","10,802",30.2,27.1,33.3
2010,12,FL,Florida,"3,048,621","3,014,414","3,082,828",16.5,16.3,16.7,"929,620","909,688","949,552",23.6,23.1,24.1,"628,165","611,525","644,805",21.9,21.3,22.5,"44,390","44,071","44,709","284,672","274,753","294,591",27,26.1,27.9
